0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Feature,Frequency Density Group
58.853,58.853,23.412,28.029,9.676,7.441,B2,select word,rare
64.529,38.294,23.412,38.294,37.118,2.294,B2,select word,rare
17.735,38.294,58.853,38.294,9.676,17.735,B2,select word,rare
100.0,38.294,45.147,43.971,9.676,13.118,B2,select word,rare
64.529,105.676,4.029,33.676,91.971,64.529,B2,select word,rare
58.853,17.735,37.118,64.529,45.147,23.412,B2,select word,rare
58.853,2.824,50.824,23.412,38.294,64.0,B2,select word,rare
17.735,17.735,9.676,17.735,78.235,7.971,B2,select word,rare
64.529,43.971,50.824,28.029,9.676,28.029,B2,select word,rare
23.412,100.0,37.118,2.824,64.529,18.265,B2,select word,rare
17.735,38.294,86.294,48.588,16.559,43.971,B2,select word,rare
58.853,64.529,72.588,115.941,58.853,7.971,B2,select word,rare
23.412,38.294,58.853,69.147,24.588,43.971,B2,select word,rare
