0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Sampling Interval
3.331,0.068,7.244,3.395,5.026,1.559,B1,30 seconds
7.951,2.547,12.011,0.737,4.213,0.155,B1,30 seconds
2.611,8.353,3.266,5.09,1.233,2.692,B1,30 seconds
7.879,0.751,4.845,2.025,1.908,0.797,C,30 seconds
5.596,3.395,1.465,2.155,0.226,1.006,C,30 seconds
6.527,6.588,0.473,4.184,0.376,0.668,C,30 seconds
3.163,1.795,0.173,1.822,1.15,0.211,C,30 seconds
15.0,7.812,1.991,2.622,0.954,0.853,C,30 seconds
2.847,8.593,1.284,1.22,2.178,0.956,C,30 seconds
7.354,0.353,9.622,7.902,2.081,1.688,C,30 seconds
8.21,6.633,2.532,1.119,3.185,0.504,C,30 seconds
10.809,9.119,3.568,6.617,0.12,1.856,C,30 seconds
9.833,1.518,2.351,2.944,3.358,2.516,C,30 seconds
10.989,4.251,3.208,3.733,1.667,1.423,C,30 seconds
6.498,0.436,2.351,1.434,1.886,0.566,C,30 seconds
13.438,3.012,7.039,0.95,2.727,1.033,C,30 seconds
4.65,2.892,2.081,5.919,2.246,0.037,C,30 seconds
5.371,8.886,3.238,4.308,0.788,0.554,C,30 seconds
13.979,9.299,8.601,3.771,3.508,1.067,C,30 seconds
0.098,8.262,4.754,4.127,0.301,3.434,C,30 seconds
0.729,6.73,1.931,0.402,3.057,0.154,C,30 seconds
2.922,5.13,3.253,3.557,2.269,0.994,C,30 seconds
7.084,1.006,1.465,3.546,1.667,1.546,C,30 seconds
1.75,2.532,5.551,5.112,1.796,0.549,C,30 seconds
1.089,8.684,7.368,1.479,2.043,1.04,C,30 seconds
0.488,1.45,2.246,2.171,0.052,0.261,C,30 seconds
6.723,7.789,5.236,0.47,0.405,0.764,C,30 seconds
0.127,8.931,2.125,1.806,0.766,2.25,C,30 seconds
4.95,0.729,0.082,2.847,0.271,1.282,C,30 seconds
21.641,4.815,4.724,2.475,1.81,1.411,C,30 seconds
0.459,3.012,5.431,2.978,0.698,0.753,C,30 seconds
0.008,10.644,0.728,0.871,2.201,2.003,C,30 seconds
3.703,9.344,4.845,0.578,0.797,2.132,C,30 seconds
13.062,9.096,0.924,1.637,2.945,0.149,C,30 seconds
9.276,14.25,2.005,2.505,0.398,0.43,C,30 seconds
3.749,3.275,4.709,2.674,2.388,0.781,C,30 seconds
6.453,4.357,5.656,0.087,3.305,0.329,C,30 seconds
0.909,6.505,4.815,1.716,2.254,2.261,C,30 seconds
2.892,6.047,2.02,2.674,4.424,0.813,C,30 seconds
10.809,0.323,0.443,0.285,1.044,2.036,C,30 seconds
8.391,6.099,4.334,4.244,0.871,2.386,C,30 seconds
0.053,6.137,0.593,1.078,0.729,1.046,C,30 seconds
9.337,5.912,4.995,0.218,3.463,1.508,C,30 seconds
1.434,10.824,1.239,1.473,0.323,2.178,C,30 seconds
10.673,8.616,6.287,1.119,2.374,1.305,C,30 seconds
0.263,8.098,3.838,2.122,0.984,0.167,C,30 seconds
12.447,5.709,4.244,1.247,1.742,1.123,C,30 seconds
5.371,1.157,3.417,0.206,2.599,1.384,C,30 seconds
11.079,13.145,5.942,1.254,1.285,0.701,C,30 seconds
5.31,9.862,0.684,0.819,1.45,1.106,C,30 seconds
3.298,6.317,1.57,1.108,3.425,1.603,C,30 seconds
14.82,1.473,4.379,5.461,1.547,0.182,C,30 seconds
0.639,0.098,4.139,1.597,0.984,1.412,C,30 seconds
4.965,6.16,8.57,6.155,1.36,0.854,C,30 seconds
11.861,7.422,1.36,4.12,0.631,0.656,C,30 seconds
3.388,5.355,2.231,4.815,0.977,0.257,C,30 seconds
2.696,1.135,0.624,2.595,4.785,0.308,C,30 seconds
14.64,2.396,4.59,3.451,0.015,1.078,C,30 seconds
10.223,7.444,5.641,0.481,2.088,0.674,C,30 seconds
10.493,8.307,7.774,7.793,0.924,0.139,C,30 seconds
1.585,9.817,3.794,0.977,0.586,1.653,C,30 seconds
8.6,5.619,2.697,0.015,2.284,1.648,C,30 seconds
11.44,0.263,0.909,7.338,2.095,0.939,C,30 seconds
1.795,1.209,2.922,8.826,1.104,1.474,C,30 seconds
19.327,3.163,2.14,1.536,2.14,1.164,C,30 seconds
6.212,4.206,5.205,5.563,0.992,2.053,C,30 seconds
1.75,6.16,3.267,1.394,0.421,1.474,C,30 seconds
0.758,3.057,2.411,3.309,3.23,0.741,C,30 seconds
9.022,11.929,1.615,3.068,0.405,0.589,C,30 seconds
7.67,12.409,6.137,2.663,2.975,0.943,C,30 seconds
4.86,4.769,3.253,2.099,1.344,0.398,C,30 seconds
0.894,4.199,5.746,4.041,2.539,0.075,C,30 seconds
6.482,3.823,5.041,0.729,0.06,1.908,C,30 seconds
4.334,3.755,4.199,1.412,2.238,0.323,C,30 seconds
1.946,1.292,8.916,0.988,1.488,2.03,C,30 seconds
5.641,18.335,1.57,2.137,0.563,0.42,C,30 seconds
25.636,3.185,9.321,6.64,0.398,0.33,C,30 seconds
4.679,5.22,0.954,1.84,2.298,0.07,C,30 seconds
2.396,6.662,3.463,0.364,0.181,1.806,C,30 seconds
5.732,8.69,1.104,5.22,0.36,0.036,C,30 seconds
1.135,0.736,2.621,4.116,0.894,0.065,C,30 seconds
6.482,5.806,5.776,1.66,0.338,0.887,C,30 seconds
1.479,3.372,4.544,2.719,4.056,1.788,C,30 seconds
1.405,1.817,4.769,0.341,2.877,0.775,C,30 seconds
4.995,3.282,2.847,0.646,1.901,1.682,C,30 seconds
12.357,0.639,4.544,1.551,0.09,0.273,C,30 seconds
19.027,1.029,1.87,5.829,1.682,2.465,C,30 seconds
0.758,4.161,1.24,1.479,1.562,0.363,C,30 seconds
1.72,6.678,1.24,1.495,1.57,1.637,C,30 seconds
4.65,0.729,0.954,4.718,0.225,0.663,C,30 seconds
3.072,4.477,3.027,4.837,0.465,1.485,C,30 seconds
1.57,9.569,1.705,2.96,1.645,1.62,C,30 seconds
2.155,4.447,3.313,3.609,1.682,0.505,C,30 seconds
1.254,0.909,1.6,0.661,1.667,2.526,C,30 seconds
2.667,7.113,4.89,4.691,3.763,0.363,C,30 seconds
15.962,1.315,0.804,10.02,1.802,2.239,C,30 seconds
1.54,4.454,0.954,0.837,0.533,0.088,C,30 seconds
7.789,0.443,2.877,0.278,0.42,1.242,C,30 seconds
6.498,3.681,3.928,1.292,3.605,1.016,C,30 seconds
5.822,2.487,0.458,0.443,0.15,1.906,C,30 seconds
2.741,4.319,6.783,0.454,2.448,2.054,C,30 seconds
11.485,1.93,0.759,0.668,0.691,1.119,C,30 seconds
5.355,6.858,7.7,2.043,0.788,1.586,C,30 seconds
6.115,1.222,2.912,3.141,0.826,1.069,A3,30 seconds
11.244,9.294,5.974,1.969,0.156,0.652,A3,30 seconds
4.94,6.274,2.064,3.041,0.095,0.826,A3,30 seconds
4.842,3.012,2.488,5.081,2.674,0.094,A3,30 seconds
2.077,1.819,1.772,1.302,1.184,0.049,A3,30 seconds
2.297,5.139,11.077,1.044,0.261,1.237,A3,30 seconds
7.983,14.106,4.59,1.542,0.488,1.517,A3,30 seconds
2.753,10.627,2.562,0.844,0.11,2.907,A3,30 seconds
8.002,1.501,2.992,0.049,0.441,1.52,A3,30 seconds
1.343,4.145,3.628,3.628,0.38,0.145,A3,30 seconds
1.242,0.687,1.746,3.469,3.297,1.566,A3,30 seconds
0.905,1.144,1.295,0.259,0.765,0.178,A3,30 seconds
1.162,0.904,4.153,0.844,3.371,1.576,A3,30 seconds
3.588,2.774,0.322,1.709,2.681,1.268,A3,30 seconds
1.064,3.051,3.628,0.834,0.016,0.7,A3,30 seconds
5.558,2.534,4.662,3.161,0.54,0.279,A3,30 seconds
1.242,8.976,6.279,0.359,0.534,0.766,A3,30 seconds
5.2,2.594,2.801,1.522,5.061,3.166,A3,30 seconds
0.327,2.138,2.973,3.381,1.05,2.495,A3,30 seconds
3.906,0.706,1.07,1.033,2.448,0.66,A3,30 seconds
1.979,4.344,1.428,3.49,3.297,3.57,A3,30 seconds
8.421,1.262,5.16,3.102,0.123,0.14,A3,30 seconds
2.753,6.272,1.064,6.451,1.064,0.208,A3,30 seconds
1.719,3.828,2.642,0.17,3.323,1.522,A3,30 seconds
1.481,7.546,5.073,0.089,3.091,1.6,A3,30 seconds
0.547,5.855,0.606,0.239,2.536,0.76,A3,30 seconds
7.604,0.17,3.596,0.488,3.588,0.945,A3,30 seconds
3.27,2.058,0.256,2.078,0.753,1.03,A3,30 seconds
5.417,2.556,3.888,1.83,2.138,0.771,A3,30 seconds
1.322,9.196,3.888,0.516,0.4,0.81,A3,30 seconds
13.927,1.938,2.337,1.143,2.203,0.392,A3,30 seconds
2.316,5.299,4.397,3.121,1.489,1.043,A3,30 seconds
0.428,7.745,0.216,5.578,4.98,2.127,A3,30 seconds
5.001,5.16,4.219,4.275,3.112,1.346,A3,30 seconds
1.162,2.377,0.924,1.292,1.341,1.328,A3,30 seconds
6.173,7.565,0.261,2.415,2.721,1.212,A3,30 seconds
16.234,1.223,1.369,4.216,1.235,2.416,A3,30 seconds
3.827,1.005,3.575,1.88,2.966,0.254,A3,30 seconds
